#anaid	run	sample	resis_name	resis_gene	resis_DrugLog	resis_DrugName	resis_MutLog	resis_mut	resis_RawDep	resis_rpk	resis_mut_ratio
R240425-S001	240425_MN00604_0427_A000H5LG7H	T3P3-QWR01-DJ-1	百日咳鲍特菌耐药	23S rRNA	NA	大环内酯类抗生素	敏感	未检出耐药突变	149	230	0%
R240425-S002	240425_MN00604_0427_A000H5LG7H	T3P3-QWR01-DJ-2	百日咳鲍特菌耐药	23S rRNA	NA	大环内酯类抗生素	敏感	未检出耐药突变	171	259	0%
R240425-S003	240425_MN00604_0427_A000H5LG7H	T3P3-QWR01-DJ-3	百日咳鲍特菌耐药	23S rRNA	NA	大环内酯类抗生素	敏感	未检出耐药突变	291	458	0%
R240425-S004	240425_MN00604_0427_A000H5LG7H	T3P3-QWR01-DJ-4	百日咳鲍特菌耐药	23S rRNA	NA	大环内酯类抗生素	敏感	未检出耐药突变	128	252	0%
R240425-S005	240425_MN00604_0427_A000H5LG7H	T3P3-QWR01-DJ-5	百日咳鲍特菌耐药	23S rRNA	NA	大环内酯类抗生素	敏感	未检出耐药突变	92	165	0%
R240425-S006	240425_MN00604_0427_A000H5LG7H	T3P3-QWR01-DJ-6	百日咳鲍特菌耐药	23S rRNA	NA	大环内酯类抗生素	敏感	未检出耐药突变	111	242	0%
R240425-S007	240425_MN00604_0427_A000H5LG7H	T3P3-QWR01-DJ-7	百日咳鲍特菌耐药	23S rRNA	NA	大环内酯类抗生素	敏感	未检出耐药突变	141	259	0%
R240425-S008	240425_MN00604_0427_A000H5LG7H	T3P3-QWR01-DJ-8	百日咳鲍特菌耐药	23S rRNA	NA	大环内酯类抗生素	敏感	未检出耐药突变	318	444	0%
R240425-S009	240425_MN00604_0427_A000H5LG7H	T3P3-QWR02-DJ-1	百日咳鲍特菌耐药	23S rRNA	NA	大环内酯类抗生素	敏感	未检出耐药突变	542	549	0%
R240425-S010	240425_MN00604_0427_A000H5LG7H	T3P3-QWR02-DJ-2	百日咳鲍特菌耐药	23S rRNA	NA	大环内酯类抗生素	敏感	未检出耐药突变	396	515	0%
R240425-S011	240425_MN00604_0427_A000H5LG7H	T3P3-QWR02-DJ-3	百日咳鲍特菌耐药	23S rRNA	NA	大环内酯类抗生素	敏感	未检出耐药突变	1071	1341	0%
R240425-S012	240425_MN00604_0427_A000H5LG7H	T3P3-QWR02-DJ-4	百日咳鲍特菌耐药	23S rRNA	NA	大环内酯类抗生素	敏感	未检出耐药突变	593	620	0%
R240425-S013	240425_MN00604_0427_A000H5LG7H	T3P3-QWR02-DJ-5	百日咳鲍特菌耐药	23S rRNA	NA	大环内酯类抗生素	敏感	未检出耐药突变	856	787	0%
R240425-S014	240425_MN00604_0427_A000H5LG7H	T3P3-QWR02-DJ-6	百日咳鲍特菌耐药	23S rRNA	NA	大环内酯类抗生素	敏感	未检出耐药突变	563	1081	0%
R240425-S015	240425_MN00604_0427_A000H5LG7H	T3P3-QWR02-DJ-7	百日咳鲍特菌耐药	23S rRNA	NA	大环内酯类抗生素	敏感	未检出耐药突变	578	753	0%
R240425-S016	240425_MN00604_0427_A000H5LG7H	T3P3-QWR02-DJ-8	百日咳鲍特菌耐药	23S rRNA	NA	大环内酯类抗生素	敏感	未检出耐药突变	466	536	0%
R240425-S017	240425_MN00604_0427_A000H5LG7H	T3P3-QWP01-DJ-1	百日咳鲍特菌耐药	23S rRNA	NA	大环内酯类抗生素	敏感	未检出耐药突变	440	520	0%
R240425-S018	240425_MN00604_0427_A000H5LG7H	T3P3-QWP01-DJ-2	百日咳鲍特菌耐药	23S rRNA	NA	大环内酯类抗生素	敏感	未检出耐药突变	314	342	0%
R240425-S019	240425_MN00604_0427_A000H5LG7H	T3P3-QWP01-DJ-3	百日咳鲍特菌耐药	23S rRNA	NA	大环内酯类抗生素	敏感	未检出耐药突变	1044	1206	0%
R240425-S020	240425_MN00604_0427_A000H5LG7H	T3P3-QWP02-DJ-1	百日咳鲍特菌耐药	23S rRNA	NA	大环内酯类抗生素	敏感	未检出耐药突变	59	106	0%
R240425-S021	240425_MN00604_0427_A000H5LG7H	T3P3-QWP02-DJ-2	百日咳鲍特菌耐药	23S rRNA	NA	大环内酯类抗生素	敏感	未检出耐药突变	460	487	0%
R240425-S022	240425_MN00604_0427_A000H5LG7H	T3P3-QWP02-DJ-3	百日咳鲍特菌耐药	23S rRNA	NA	大环内酯类抗生素	敏感	未检出耐药突变	427	568	0%
R240425-S023	240425_MN00604_0427_A000H5LG7H	T3P3-QWP03-DJ-1	百日咳鲍特菌耐药	23S rRNA	NA	大环内酯类抗生素	敏感	未检出耐药突变	408	492	0%
R240425-S024	240425_MN00604_0427_A000H5LG7H	T3P3-QWP03-DJ-2	百日咳鲍特菌耐药	23S rRNA	NA	大环内酯类抗生素	敏感	未检出耐药突变	198	223	0%
R240425-S025	240425_MN00604_0427_A000H5LG7H	T3P3-QWP03-DJ-3	百日咳鲍特菌耐药	23S rRNA	NA	大环内酯类抗生素	敏感	未检出耐药突变	468	585	0%
